molecule_chembl_id,canonical_smiles,standard_value
CHEMBL503089,O/N=C1\CCc2cc(-c3cn(C4CCCC4)nc3-c3ccncc3)ccc21,3.46
CHEMBL502816,CCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,0.57
CHEMBL500660,Cn1ncc(-c2ccc3c(c2)CC/C3=N\O)c1-c1ccncc1,0.48
CHEMBL500659,Cn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,0.02
CHEMBL524635,CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=S)Nc3ccccc3)c2)n1,331.0
CHEMBL1964274,CCn1cc(-c2ccnc3[nH]c(C(=O)O)cc23)c(-c2cccc(NC(=O)Nc3ccccc3)c2)n1,45.7
CHEMBL1964273,CCOC(=O)c1cc2c(-c3cn(CC)nc3-c3cccc(NC(=O)Nc4ccccc4)c3)ccnc2[nH]1,33.9
CHEMBL456351,CCn1cc(-c2ccnc3[nH]cc(Br)c23)c(-c2cccc(NC(=O)Nc3ccccc3)c2)n1,79.4
CHEMBL456350,CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)Nc3cccc(OC)c3)c2)n1,2.1
CHEMBL456983,CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c2)n1,5.4
CHEMBL526268,CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)c2)n1,3.9
CHEMBL497484,CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)Nc3cccc(Cl)c3)c2)n1,10.5
CHEMBL523411,CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)Nc3ccc(C(F)(F)F)cc3)c2)n1,2.5
CHEMBL496275,CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)Nc3c(F)cccc3F)c2)n1,25.7
CHEMBL525896,CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)Nc3ccccc3Cl)c2)n1,5.3
CHEMBL505187,CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)Nc3ccc(OCc4ccccc4)cc3)c2)n1,110.0
CHEMBL496265,CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)NCc3ccccc3)c2)n1,170.0
CHEMBL522902,CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)NC3CCCCC3)c2)n1,41.7
CHEMBL498307,CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)Nc3ccccc3)c2)n1,17.4
CHEMBL521155,Nc1ncnc2c1ncn2CC(=O)c1c[nH]c2ccccc12,82000.0
CHEMBL525079,COc1cc(Nc2cncc(-c3cccnc3)n2)cc(OC)c1OC,22000.0
CHEMBL500142,COc1cc(Nc2cncc(-c3ccncc3)n2)cc(OC)c1OC,2900.0
CHEMBL484307,COc1cc(Nc2cncc(-c3ccc(C(N)=O)cc3)n2)cc(OC)c1OC,1120.0
CHEMBL484107,COc1cc(Nc2cncc(-c3cccc(C#N)c3)n2)cc(OC)c1OC,9800.0
CHEMBL484106,COc1cc(Nc2cncc(-c3ccc(NC(=O)Nc4ccccc4)cc3)n2)cc(OC)c1OC,1160.0
CHEMBL521480,COc1cc(Nc2cncc(-c3ccc(C=O)cc3)n2)cc(OC)c1OC,3000.0
CHEMBL500416,CCOC(=O)c1cccc(-c2cncc(Nc3cc(OC)c(OC)c(OC)c3)n2)c1,14000.0
CHEMBL524868,COc1cc(Nc2cncc(-c3ccc(CO)cc3)n2)cc(OC)c1OC,26000.0
CHEMBL500151,COc1cc(Nc2cncc(-c3ccc(O)cc3)n2)cc(OC)c1OC,18000.0
CHEMBL501736,COc1cc(Nc2cncc(-c3cccc(O)c3)n2)cc(OC)c1OC,4000.0
CHEMBL483921,COc1cc(Nc2cncc(-c3cccc(NC(C)=O)c3)c2)cc(OC)c1OC,26000.0
CHEMBL484917,COc1cc(Nc2nc(-c3cccc(NC(C)=O)c3)cnc2NC(C)=O)cc(OC)c1OC,100000.0
CHEMBL484114,COc1cc(Nc2cncc(Nc3ccc(NC(C)=O)cc3)n2)cc(OC)c1OC,16000.0
CHEMBL484319,COc1cc(Nc2cncc(Nc3ccc(F)cc3)n2)cc(OC)c1OC,19000.0
CHEMBL520162,COc1cc(Nc2cncc(Nc3cccc(F)c3)n2)cc(OC)c1OC,12000.0
CHEMBL484317,COc1cc(Nc2cncc(Nc3ccc(O)cc3)n2)cc(OC)c1OC,4900.0
CHEMBL484116,COc1cc(Nc2cncc(Nc3cccc(NC(C)=O)c3)n2)cc(OC)c1OC,14000.0
CHEMBL484115,COc1cc(Nc2cncc(Nc3ccncc3)n2)cc(OC)c1OC,4700.0
CHEMBL504906,COc1cc(Nc2cncc(Nc3ccccc3)n2)cc(OC)c1OC,16000.0
CHEMBL483717,COc1cc(Nc2cncc(Oc3cccc4c3CCC4=O)n2)cc(OC)c1OC,18000.0
CHEMBL483916,COc1cc(Nc2cncc(Oc3ccc4c(c3)CCCC4=O)n2)cc(OC)c1OC,76000.0
CHEMBL519992,COc1cc(Nc2cncc(Oc3cccc4c3CCCC4=O)n2)cc(OC)c1OC,29000.0
CHEMBL483915,COc1cc(Nc2cncc(Oc3cccc4cnccc34)n2)cc(OC)c1OC,3800.0
CHEMBL483914,COc1cc(Nc2cncc(Oc3ccc4ncccc4c3)n2)cc(OC)c1OC,29000.0
CHEMBL482689,COc1cc(Nc2cncc(Oc3cccc4ncccc34)n2)cc(OC)c1OC,10000.0
CHEMBL518975,COc1cc(Nc2cncc(Oc3ccnc4ccccc34)n2)cc(OC)c1OC,1500.0
CHEMBL482893,COc1cc(Nc2cncc(Oc3ccc4c(c3)OC(=O)CC4)n2)cc(OC)c1OC,44000.0
CHEMBL483709,COc1cc(Nc2cncc(Oc3cccc4[nH]ccc34)n2)cc(OC)c1OC,7400.0
CHEMBL484301,COc1cc(Nc2cncc(Oc3cccc4c3CCCC4)n2)cc(OC)c1OC,18000.0
CHEMBL482681,COc1cc(Nc2cncc(Sc3cccc4ccccc34)n2)cc(OC)c1OC,9800.0
CHEMBL482680,COc1cc(Nc2cncc(Oc3cccnc3)n2)cc(OC)c1OC,45000.0
CHEMBL501946,COc1cc(Nc2cncc(Oc3ccncc3)n2)cc(OC)c1OC,16000.0
CHEMBL482482,COc1cc(Nc2cncc(Oc3ccccc3)n2)cc(OC)c1OC,31000.0
CHEMBL520330,COc1cc(Nc2cncc(Oc3ccc4ccccc4c3)n2)cc(OC)c1OC,100000.0
CHEMBL484320,COc1cc(Nc2cncc(Oc3cccc4ccccc34)n2)cc(OC)c1OC,1200.0
CHEMBL483297,COc1cc(Nc2cncc(Oc3ccc4c(c3)CCC/C4=N\O)n2)cc(OC)c1OC,92000.0
CHEMBL520632,COc1cc(Nc2cncc(Oc3ccc4c(c3)/C(=N/O)CC4)n2)cc(OC)c1OC,86000.0
CHEMBL484096,COc1cc(Nc2cncc(Oc3cccc4c3CC/C4=N\O)n2)cc(OC)c1OC,1400.0
CHEMBL519648,COc1cc(Nc2cncc(Oc3ccc(/C(C)=N/O)cc3)n2)cc(OC)c1OC,26000.0
CHEMBL482932,COc1cc(Nc2cncc(Oc3cccc(/C(C)=N/O)c3)n2)cc(OC)c1OC,11000.0
CHEMBL520625,COc1cc(Nc2cncc(Oc3ccc(C(C)=O)cc3)n2)cc(OC)c1OC,34000.0
CHEMBL482931,COc1cc(Nc2cncc(Oc3cccc(C(C)=O)c3)n2)cc(OC)c1OC,19000.0
CHEMBL482928,COc1cc(Nc2cncc(Oc3ccc(NC(C)=O)cc3)n2)cc(OC)c1OC,5500.0
CHEMBL482927,COc1cc(Nc2cncc(Oc3cccc(NC(C)=O)c3)n2)cc(OC)c1OC,13000.0
CHEMBL482929,COc1cc(Nc2cncc(Oc3cccc(Cl)c3)n2)cc(OC)c1OC,36000.0
CHEMBL520623,COc1cc(Nc2cncc(Oc3cccc(F)c3)n2)cc(OC)c1OC,56000.0
CHEMBL482926,COc1cc(Nc2cncc(Oc3ccccc3F)n2)cc(OC)c1OC,45000.0
CHEMBL482718,COc1cc(Nc2cncc(Oc3ccccc3-c3ccccc3)n2)cc(OC)c1OC,10000.0
CHEMBL483718,COc1cc(Nc2cncc(Oc3ccc4c(c3)C(=O)CC4)n2)cc(OC)c1OC,22000.0
